藏,书名,题材,朝代,页数,推荐优先级,知名度,理由
子藏,客窗闲话,笔记小说,清,15,中,中,清代志怪故事集，可读性较好
子藏,宣室志,笔记小说,隋唐,6,中,中,张读志怪传奇，可读性较好
子藏,封氏闻见记,笔记小说,隋唐,5,中,中,封演记唐代典制见闻，史料价值高
子藏,小豆棚,笔记小说,清,18,中,中,仿聊斋志怪集，故事性较强可读
子藏,履园丛话,笔记小说,清,45,中,中,钱泳见闻丛谈，内容广博可读
子藏,广异记,笔记小说,隋唐,7,中,中,戴孚志怪集，故事丰富可读
子藏,异苑,笔记小说,魏晋南北朝,5,中,中,刘敬叔志怪集，故事丰富可读
子藏,归潜志,笔记小说,辽金,5,中,中,刘祁记金末史事人物，史料价值高
子藏,归田录,笔记小说,宋,2,中,中,欧阳修朝野轶事随笔，文佳可读
子藏,教坊记,笔记小说,隋唐,1,中,中,唐代教坊乐舞记述，史料价值高篇幅短
子藏,朝野佥载,笔记小说,隋唐,5,中,中,张鷟记唐代朝野轶事，生动可读
子藏,殷芸小说,笔记小说,魏晋南北朝,4,中,中,殷芸辑古小说，资料价值高可读
子藏,池北偶谈,笔记小说,清,33,中,中,王士禛见闻杂谈，内容广博可读
子藏,洞冥记,笔记小说,魏晋南北朝,2,中,中,汉武求仙神异故事，瑰奇可读
子藏,清异录,笔记小说,宋,29,中,中,陶谷记名物典故，新奇有趣可读
子藏,独异志,笔记小说,隋唐,5,中,中,李冗志怪异闻集，故事丰富可读
子藏,甘泽谣,笔记小说,隋唐,2,中,中,唐传奇集含红线等名篇，可读但偏专
子藏,癸辛杂识,笔记小说,宋,12,中,中,周密宋末杂识，史料丰富但偏考据
子藏,类说,笔记小说,宋,176,中,中,曾慥辑录百家小说，资料价值高但庞杂
子藏,续世说,笔记小说,宋,12,中,中,仿世说体记唐宋轶事，可读但逊原作
子藏,续夷坚志,笔记小说,辽金,5,中,中,元好问续夷坚志怪，志怪故事可读
子藏,老学庵笔记,笔记小说,宋,7,中,中,陆游名家笔记，掌故丰富但偏考据
子藏,艳异编,笔记小说,明,67,中,中,王世贞辑艳情志怪，故事丰富但庞杂
子藏,萤窗异草,笔记小说,清,10,中,中,清代志怪小说集，仿聊斋故事可读
子藏,说郛,笔记小说,元,601,中,中,陶宗仪辑大型丛书，资料宝库但浩繁
子藏,谐铎,笔记小说,清,12,中,中,沈起凤寓言志怪，讽喻生动有可读性
子藏,辍耕录,笔记小说,元,23,中,中,陶宗仪元末杂记，史料丰富偏考据
子藏,集异记,笔记小说,隋唐,1,中,中,唐传奇含旗亭画壁等名篇，故事好但残
子藏,青楼集,笔记小说,元,3,中,中,夏庭芝记元代名伶，戏曲史料珍贵但专
子藏,风俗通义,笔记小说,汉,5,中,中,应劭考辨风俗神怪，含名怪谈但偏考据
子藏,鹤林玉露,笔记小说,宋,6,中,中,罗大经文人杂记，清谈可读但偏议论
子藏,齐东野语,笔记小说,宋,13,中,中,周密记宋末掌故，史料丰富偏考据
诗藏,本事诗,笔记小说,隋唐,1,中,中,孟棨记唐诗本事，含名篇情事但偏诗话
集藏,古今笑史,笔记小说,明,50,中,中,冯梦龙笑话集古今谭概，诙谐
集藏,广笑府,笔记小说,明,6,中,中,冯梦龙笑话集，诙谐通俗
集藏,笑得好,笔记小说,清,12,中,中,清代笑话集，幽默可读
集藏,笑赞,笔记小说,明,3,中,中,明代笑话集，趣味尚可
集藏,醉翁谈录,笔记小说,宋,5,中,中,宋代说话史料，研究价值高
史藏,律条公案,话本拟话本,明,3,中,中,明代公案话本，断案故事可读
史藏,明镜公案,话本拟话本,明,6,中,中,明代公案话本，断案故事可读
集藏,五鼠闹东京,话本拟话本,清,3,中,中,五鼠包公题材，民间故事有趣
集藏,全相平话三国志至治新刊,话本拟话本,元,7,中,中,三国平话刊本，讲史价值高
集藏,廿一史弹词,话本拟话本,明,32,中,中,杨慎咏史弹词，知名度尚可
集藏,新编五代史平话,话本拟话本,宋,22,中,中,早期讲史平话有研究价值，趣味一般
集藏,桃花庵鼓词,话本拟话本,清,41,中,中,鼓词戏文流传民间，知名度中
集藏,武王伐纣平话 吕望兴周,话本拟话本,元,27,中,中,封神故事源头平话，有研究兴味
集藏,海公案,话本拟话本,明,40,中,中,海瑞公案系列，题材有名
集藏,清风闸,话本拟话本,清,9,中,中,扬州评话名段，市井趣味强
集藏,秦并六国平话,话本拟话本,元,11,中,中,元刊讲史平话，研究价值高
集藏,薛仁贵征辽事略,话本拟话本,元,4,中,中,薛仁贵故事元代平话，源头价值
集藏,西湖二集,话本拟话本,明,19,中,中,西湖题材话本集，故事可读
史藏,东林列传,人物传记,清,13,中,低,东林党人传记偏史料专门
史藏,中州人物考,人物传记,明,17,中,低,河南人物传偏地方史料专门
史藏,元朝名臣事略,人物传记,元,16,中,低,苏天爵名著，名臣事迹较可读
史藏,十七史百将传,人物传记,宋,4,中,低,历代名将传辑，武将故事尚可
史藏,春秋臣传,人物传记,宋,9,中,低,辑春秋名臣事迹，故事性尚可
史藏,襄阳耆旧记,人物传记,魏晋南北朝,2,中,低,习凿齿记襄阳人物，地方掌故
子藏,奇女子传,人物传记,清,8,中,低,历代奇女子传，可读偏小众
子藏,林灵素传,人物传记,宋,1,中,低,道士林灵素传，趣味篇幅短
道藏,续仙传,人物传记,五代,2,中,低,仙人传续编，有趣味偏冷
佛藏,三宝感应要略录,佛教故事,宋,9,中,低,感应灵验故事集，有一定可读性但小众
佛藏,中本起经,佛教故事,魏晋南北朝,2,中,低,佛传叙事有情节，但版本零散
佛藏,中本起经,佛教故事,魏晋南北朝,3,中,低,佛传叙事有情节，但版本零散
佛藏,付法藏因缘传,佛教故事,魏晋南北朝,3,中,低,祖师传承因缘，叙事性中等
佛藏,付法藏因缘经,佛教故事,魏晋南北朝,2,中,低,祖师传承因缘，叙事性中等
佛藏,众经撰杂譬喻,佛教故事,魏晋南北朝,2,中,低,譬喻故事集，部分生动可读
佛藏,众经撰杂譬喻经,佛教故事,魏晋南北朝,2,中,低,譬喻故事集，部分生动可读
佛藏,众许摩诃帝经,佛教故事,宋,5,中,低,佛传缘起叙事，篇幅适中但小众
佛藏,佛五百弟子自说本起经,佛教故事,魏晋南北朝,11,中,低,弟子本生故事集，叙事性尚可
佛藏,佛五百弟子自说本起经,佛教故事,魏晋南北朝,12,中,低,弟子本生故事集，叙事性尚可
佛藏,佛祖历代通载,佛教故事,元,22,中,低,编年佛教史，史料价值高但偏专门
佛藏,佛祖历代通载,佛教故事,元,23,中,低,编年佛教史，史料价值高但偏专门
佛藏,佛祖历代通载,佛教故事,元,26,中,低,编年佛教史，史料价值高但偏专门
佛藏,佛祖统纪,佛教故事,宋,74,中,低,天台编年史巨著，专门性强
佛藏,佛说五王经,佛教故事,魏晋南北朝,1,中,低,五王因缘有故事框架，篇幅短
佛藏,佛说五王经,佛教故事,魏晋南北朝,1,中,低,五王因缘有故事框架，篇幅短
佛藏,佛说众许摩诃帝经,佛教故事,宋,7,中,低,佛传缘起叙事，小众
佛藏,佛说优填王经,佛教故事,魏晋南北朝,1,中,低,优填王造像因缘，有典故价值
佛藏,佛说兴起行经,佛教故事,魏晋南北朝,3,中,低,佛宿世业缘故事，叙事尚可
佛藏,佛说兴起行经,佛教故事,魏晋南北朝,3,中,低,佛宿世业缘故事，叙事尚可
佛藏,佛说净饭王般涅槃经,佛教故事,魏晋南北朝,1,中,低,净饭王临终叙事，有亲情情节
佛藏,佛说净饭王般涅槃经,佛教故事,魏晋南北朝,1,中,低,净饭王临终叙事，有亲情情节
佛藏,佛说因缘僧护经,佛教故事,魏晋南北朝,1,中,低,僧护地狱见闻，有奇幻情节
佛藏,佛说因缘僧护经,佛教故事,魏晋南北朝,1,中,低,僧护地狱见闻，有奇幻情节
佛藏,佛说国王不黎先尼十梦经,佛教故事,魏晋南北朝,1,中,低,解梦预言故事，有趣味性
佛藏,佛说大意经,佛教故事,魏晋南北朝,1,中,低,大意入海取宝故事，有冒险情节
佛藏,佛说大意经,佛教故事,魏晋南北朝,1,中,低,大意入海取宝故事，有冒险情节
佛藏,佛说大鱼事经,佛教故事,魏晋南北朝,1,中,低,大鱼救众生本生，有寓言趣味
佛藏,佛说大鱼事经,佛教故事,魏晋南北朝,1,中,低,大鱼救众生本生，有寓言趣味
佛藏,佛说太子墓魄经,佛教故事,魏晋南北朝,1,中,低,慕魄太子缄默本生，有故事性
佛藏,佛说太子慕魄经,佛教故事,魏晋南北朝,1,中,低,慕魄太子缄默本生，有故事性
佛藏,佛说太子沐魄经,佛教故事,魏晋南北朝,1,中,低,慕魄太子本生异本，有故事性
佛藏,佛说太子瑞应本起经,佛教故事,魏晋南北朝,2,中,低,佛传瑞应叙事，可读性尚可
佛藏,佛说奈女祇域因缘经,佛教故事,魏晋南北朝,1,中,低,名医耆域奇事，有传奇色彩
佛藏,佛说奈女耆域因缘经,佛教故事,魏晋南北朝,1,中,低,名医耆域奇事，有传奇色彩
佛藏,佛说奈女耆婆经,佛教故事,魏晋南北朝,1,中,低,名医耆婆奇事，有传奇色彩
佛藏,佛说妙色王因缘经,佛教故事,隋唐,1,中,低,妙色王舍身求法本生，有故事性
佛藏,佛说妙色王因缘经,佛教故事,隋唐,1,中,低,妙色王舍身求法本生，有故事性
佛藏,佛说孝子经,佛教故事,魏晋南北朝,1,中,低,佛教孝道说教，契合孝文化但篇短
佛藏,佛说幻士仁贤经,佛教故事,魏晋南北朝,3,中,低,幻师斗法故事，有奇幻情节
佛藏,佛说弊魔试目连经,佛教故事,魏晋南北朝,1,中,低,魔扰目连故事，有戏剧性
佛藏,佛说弟子死复生经,佛教故事,魏晋南北朝,1,中,低,死而复生见闻，有奇异情节
佛藏,佛说弥勒来时经,佛教故事,魏晋南北朝,1,中,低,弥勒下生短经，叙事薄
佛藏,佛说摩登女解形中六事经,佛教故事,魏晋南北朝,1,中,低,摩登伽女故事余绪，有情节
佛藏,佛说摩诃迦叶度贫母经,佛教故事,魏晋南北朝,1,中,低,迦叶度贫母，有温情情节
佛藏,佛说摩诃迦叶度贫母经,佛教故事,魏晋南北朝,1,中,低,迦叶度贫母，有温情情节
佛藏,佛说文陀竭王经,佛教故事,魏晋南北朝,1,中,低,顶生王贪欲故事，有情节
佛藏,佛说文陀竭王经,佛教故事,魏晋南北朝,1,中,低,顶生王贪欲故事，有情节
佛藏,佛说月上女经,佛教故事,隋唐,4,中,低,月上女辩才故事，叙事尚可
佛藏,佛说月光童子经,佛教故事,魏晋南北朝,1,中,低,月光童子授记，有预言情节
佛藏,佛说月光童子经,佛教故事,魏晋南北朝,1,中,低,月光童子授记，有预言情节
佛藏,佛说月明菩萨经,佛教故事,魏晋南北朝,1,中,低,月明割肉舍身本生，有故事性
佛藏,佛说未曾有因缘经,佛教故事,魏晋南北朝,2,中,低,因缘说法，叙事中等
佛藏,佛说未生冤经,佛教故事,魏晋南北朝,1,中,低,阿阇世弑父故事余绪，有情节
佛藏,佛说柰女耆婆经,佛教故事,魏晋南北朝,1,中,低,名医耆婆奇事，有传奇色彩
佛藏,佛说树提伽经,佛教故事,魏晋南北朝,1,中,低,树提伽豪富因缘，有趣味性
佛藏,佛说树提伽经,佛教故事,魏晋南北朝,1,中,低,树提伽豪富因缘，有趣味性
佛藏,佛说树提伽经之二,佛教故事,魏晋南北朝,1,中,低,树提伽富贵因缘异本
佛藏,佛说波斯匿王太后崩尘土坌身经,佛教故事,魏晋南北朝,1,中,低,波斯匿王丧母说无常，有情节
佛藏,佛说波斯匿王太后崩尘土坌身经,佛教故事,魏晋南北朝,1,中,低,波斯匿王丧母说无常，有情节
佛藏,佛说海龙王经,佛教故事,魏晋南北朝,5,中,低,龙宫说法叙事，有奇幻色彩
佛藏,佛说灯指因缘经,佛教故事,魏晋南北朝,1,中,低,灯指福报故事，有情节
佛藏,佛说玉耶女经,佛教故事,魏晋南北朝,1,中,低,玉耶女训诫故事，反映妇德观
佛藏,佛说玉耶女经之二,佛教故事,魏晋南北朝,1,中,低,玉耶女训诫异本，有情节
佛藏,佛说琉璃王经,佛教故事,魏晋南北朝,1,中,低,琉璃王灭释迦族悲剧，有情节
佛藏,佛说生经,佛教故事,魏晋南北朝,7,中,低,本生故事集，部分生动可读
佛藏,佛说睒子经之三,佛教故事,魏晋南北朝,1,中,低,睒子孝行本生异本，故事性强
佛藏,佛说睒子经之二,佛教故事,魏晋南北朝,1,中,低,睒子孝行本生异本，故事性强
佛藏,佛说福力太子因缘经,佛教故事,宋,2,中,低,福力太子比拼因缘，有故事性
佛藏,佛说福力太子因缘经,佛教故事,宋,2,中,低,福力太子比拼因缘，有故事性
佛藏,佛说给孤长者女得度因缘经,佛教故事,宋,2,中,低,给孤长者女故事，叙事尚可
佛藏,佛说给孤长者女得度因缘经,佛教故事,魏晋南北朝,1,中,低,给孤长者女故事，叙事尚可
佛藏,佛说罗云忍辱经,佛教故事,魏晋南北朝,1,中,低,罗睺罗忍辱故事，有情节
佛藏,佛说舍利弗摩诃目连游四衢经,佛教故事,魏晋南北朝,1,中,低,二弟子游化故事，有情节
佛藏,佛说舍卫国王十梦经,佛教故事,魏晋南北朝,1,中,低,国王解梦预言，有趣味性
佛藏,佛说菩萨本行经,佛教故事,魏晋南北朝,1,中,低,菩萨本行故事集，叙事尚可
佛藏,佛说赖吒和罗经,佛教故事,魏晋南北朝,1,中,低,赖吒和罗出家故事，有情节
佛藏,佛说赖吒和罗经,佛教故事,魏晋南北朝,1,中,低,赖吒和罗出家故事，有情节
佛藏,佛说金色王经,佛教故事,魏晋南北朝,1,中,低,金色王布施本生，有故事性
佛藏,佛说铁城泥犁经,佛教故事,魏晋南北朝,1,中,低,地狱铁城见闻，有奇异描写
佛藏,佛说银色女经,佛教故事,魏晋南北朝,1,中,低,银色女舍身本生，有故事性
佛藏,佛说长寿王经,佛教故事,魏晋南北朝,1,中,低,长寿王忍辱本生，有故事性
佛藏,佛说阿阇世王受决经,佛教故事,魏晋南北朝,1,中,低,阿阇世王受记，关联弑父故事
佛藏,佛说阿阇世王经,佛教故事,魏晋南北朝,1,中,低,阿阇世忏悔故事，有情节
佛藏,佛说阿阇世王经,佛教故事,魏晋南北朝,1,中,低,阿阇世忏悔故事，有情节
佛藏,佛说阿难七梦经,佛教故事,魏晋南北朝,1,中,低,阿难七梦预言末法，有趣味性
佛藏,佛说顶生王因缘经,佛教故事,宋,2,中,低,顶生王贪欲堕落故事，有情节
佛藏,佛说顶生王因缘经,佛教故事,宋,2,中,低,顶生王贪欲堕落故事，有情节
佛藏,佛说顶生王故事经,佛教故事,魏晋南北朝,1,中,低,顶生王故事，有戏剧性
佛藏,佛说顶生王故事经,佛教故事,魏晋南北朝,1,中,低,顶生王故事，有戏剧性
佛藏,佛说须赖经,佛教故事,魏晋南北朝,3,中,低,贫士须赖安贫故事，有情节
佛藏,佛说须赖经,佛教故事,魏晋南北朝,3,中,低,贫士须赖安贫故事，有情节
佛藏,佛说须赖经-曹魏-白延,佛教故事,魏晋南北朝,2,中,低,贫士须赖安贫故事异本
佛藏,佛说须达经,佛教故事,魏晋南北朝,1,中,低,须达布施建祇园，关联典故
佛藏,佛说须达经,佛教故事,魏晋南北朝,1,中,低,须达布施建祇园，关联典故
佛藏,佛说频婆娑罗王经,佛教故事,魏晋南北朝,1,中,低,频婆娑罗王皈依，有情节
佛藏,佛说频婆裟罗王经,佛教故事,宋,1,中,低,频婆娑罗王皈依异本
佛藏,佛说魔娆乱经,佛教故事,魏晋南北朝,1,中,低,魔扰佛陀故事，有戏剧性
佛藏,佛说魔娆乱经,佛教故事,魏晋南北朝,1,中,低,魔扰佛陀故事，有戏剧性
佛藏,佛说鹦鹉经,佛教故事,魏晋南北朝,1,中,低,鹦鹉业报本生，有寓言趣味
佛藏,佛说鹦鹉经,佛教故事,魏晋南北朝,1,中,低,鹦鹉业报本生，有寓言趣味
佛藏,佛说鹿母经之二,佛教故事,魏晋南北朝,2,中,低,鹿母护子本生异本，故事性强
佛藏,佛说黑氏梵志经,佛教故事,魏晋南北朝,1,中,低,黑氏献花闻法故事，有情节
佛藏,佛说龙王兄弟经,佛教故事,魏晋南北朝,1,中,低,龙王兄弟故事，有奇幻色彩
佛藏,修行本起经,佛教故事,汉,4,中,低,佛传修行叙事，可读性尚可
佛藏,修行本起经,佛教故事,魏晋南北朝,3,中,低,佛传修行叙事，可读性尚可
佛藏,僧伽斯那所撰菩萨本缘经,佛教故事,魏晋南北朝,2,中,低,菩萨本缘故事集，叙事尚可
佛藏,僧伽罗刹所集佛行经,佛教故事,魏晋南北朝,8,中,低,佛行叙事集，篇幅适中小众
佛藏,六度集经,佛教故事,魏晋南北朝,3,中,低,本生谭有故事性但宗教味浓
佛藏,六度集经,佛教故事,魏晋南北朝,6,中,低,本生谭有故事性但宗教味浓
佛藏,冥报记,佛教故事,隋唐,1,中,低,因果报应故事有志怪味偏小众
佛藏,冥报记辑书,佛教故事,隋唐,3,中,低,报应故事辑录可读但小众
佛藏,北魏僧惠生使西域记,佛教故事,魏晋南北朝,1,中,低,西行记残篇有史料价值偏专门
佛藏,南海寄归内法传,佛教故事,隋唐,2,中,低,义净记印度僧制有史料价值
佛藏,国王不梨先泥十梦经,佛教故事,魏晋南北朝,1,中,低,解梦故事有趣味但短小冷僻
佛藏,大唐故三藏玄奘法师行状,佛教故事,隋唐,1,中,低,玄奘行状简略偏文献
佛藏,大唐西域求法高僧传,佛教故事,隋唐,1,中,低,求法僧传有史料价值偏专门
佛藏,大唐西域求法高僧传,佛教故事,隋唐,2,中,低,求法僧传有史料价值偏专门
佛藏,大庄严论经,佛教故事,魏晋南北朝,57,中,低,譬喻故事集有可读性但宗教浓
佛藏,大方便佛报恩经,佛教故事,魏晋南北朝,4,中,低,报恩本生有故事但宗教浓
佛藏,太子慕魄经,佛教故事,魏晋南北朝,1,中,低,本生太子故事有情节但短小
佛藏,太子瑞应本起经,佛教故事,魏晋南北朝,2,中,低,佛传本起有故事但宗教浓
佛藏,太子须大拏经,佛教故事,魏晋南北朝,1,中,低,布施本生有情节但宗教浓
佛藏,太子须大拏经,佛教故事,魏晋南北朝,1,中,低,布施本生有情节但宗教浓
佛藏,央掘魔罗经,佛教故事,魏晋南北朝,16,中,低,指鬘改邪故事性强但宗教浓
佛藏,宋高僧传,佛教故事,宋,1,中,低,高僧传史料丰富但专门性强
佛藏,宋高僧传,佛教故事,宋,13,中,低,高僧传史料丰富但专门性强
佛藏,宋高僧传,佛教故事,宋,26,中,低,高僧传史料丰富但专门性强
佛藏,寺塔记,佛教故事,隋唐,1,中,低,段成式寺塔记有掌故价值偏专门
佛藏,幻士仁贤经,佛教故事,魏晋南北朝,3,中,低,幻术斗法有趣味但宗教浓
佛藏,庐山记,佛教故事,宋,8,中,低,庐山志有掌故但偏地志专门
佛藏,弟子死复生经,佛教故事,魏晋南北朝,1,中,低,死而复生有志怪味但短小
佛藏,御制神僧传,佛教故事,明,19,中,低,神僧灵异故事有趣但宗教浓
佛藏,御制神僧传,佛教故事,明,9,中,低,神僧灵异故事有趣但宗教浓
佛藏,摩登伽经,佛教故事,魏晋南北朝,1,中,低,摩登伽女故事有情节但宗教浓
佛藏,摩登伽经,佛教故事,魏晋南北朝,1,中,低,摩登伽女故事有情节但宗教浓
佛藏,摩登女解形中六事经,佛教故事,魏晋南北朝,1,中,低,摩登女故事异本短小宗教浓
佛藏,摩邓女经,佛教故事,魏晋南北朝,1,中,低,摩登女故事异本短小宗教浓
佛藏,撰集百缘经,佛教故事,魏晋南北朝,4,中,低,因缘故事集有可读性但宗教浓
佛藏,撰集百缘经,佛教故事,魏晋南北朝,7,中,低,因缘故事集有可读性但宗教浓
佛藏,方广大庄严经,佛教故事,隋唐,27,中,低,佛传本行有故事但宗教浓
佛藏,方广大庄严经,佛教故事,隋唐,30,中,低,佛传本行有故事但宗教浓
佛藏,旧杂譬喻经,佛教故事,魏晋南北朝,2,中,低,譬喻故事生动但宗教浓篇短
佛藏,旧杂譬喻经,佛教故事,魏晋南北朝,3,中,低,譬喻故事生动但宗教浓篇短
佛藏,普曜经,佛教故事,魏晋南北朝,18,中,低,佛传本行有故事但宗教浓
佛藏,曹溪大师别传,佛教故事,隋唐,1,中,低,六祖别传有故事但偏专门
佛藏,未曾有因缘经,佛教故事,魏晋南北朝,2,中,低,因缘故事有可读性但宗教浓
佛藏,未生怨经,佛教故事,魏晋南北朝,1,中,低,阿阇世王故事有情节但短小
佛藏,杂宝藏经,佛教故事,魏晋南北朝,12,中,低,因缘故事集生动但宗教浓
佛藏,杂宝藏经,佛教故事,魏晋南北朝,7,中,低,因缘故事集生动但宗教浓
佛藏,杂譬喻经,佛教故事,魏晋南北朝,1,中,低,譬喻故事生动但宗教浓篇短
佛藏,杂譬喻经,佛教故事,魏晋南北朝,2,中,低,譬喻故事生动但宗教浓篇短
佛藏,杂譬喻经-道略,佛教故事,魏晋南北朝,2,中,低,譬喻故事生动但宗教浓篇短
佛藏,林间录,佛教故事,宋,4,中,低,禅林掌故有可读性但偏专门
佛藏,比丘尼传,佛教故事,魏晋南北朝,3,中,低,尼僧传有史料价值偏专门
佛藏,比丘尼传,佛教故事,魏晋南北朝,4,中,低,尼僧传有史料价值偏专门
佛藏,法句譬喻经,佛教故事,魏晋南北朝,10,中,低,偈颂配譬喻故事但宗教浓
佛藏,法句譬喻经,佛教故事,魏晋南北朝,8,中,低,偈颂配譬喻故事但宗教浓
佛藏,灯指因缘经,佛教故事,魏晋南北朝,1,中,低,因缘故事有情节但短小宗教浓
佛藏,炖煌录,佛教故事,隋唐,1,中,低,敦煌见闻录有掌故价值偏专门
佛藏,玄奘三藏法师资传丛书,佛教故事,隋唐,2,中,低,玄奘传资料丛编偏文献
佛藏,琉璃王经,佛教故事,魏晋南北朝,1,中,低,灭族故事有情节但短小宗教浓
佛藏,生经,佛教故事,魏晋南北朝,10,中,低,本生故事集有可读性但宗教浓
佛藏,神僧传,佛教故事,明,5,中,低,神僧灵异故事有趣但宗教浓
佛藏,神异典释教部纪事,佛教故事,清,3,中,低,释教神异纪事有趣味但杂辑
佛藏,经律异相,佛教故事,魏晋南北朝,28,中,低,佛教类书故事荟萃但宗教浓
佛藏,经律异相,佛教故事,魏晋南北朝,55,中,低,佛教类书故事荟萃但宗教浓
佛藏,续高僧传,佛教故事,隋唐,1,中,低,高僧传史料丰富但专门性强
佛藏,续高僧传,佛教故事,隋唐,12,中,低,高僧传史料丰富但专门性强
佛藏,续高僧传,佛教故事,隋唐,15,中,低,高僧传史料丰富但专门性强
佛藏,罗湖野录,佛教故事,宋,2,中,低,禅林野史掌故偏专门
佛藏,罗湖野录,佛教故事,宋,2,中,低,禅林野史掌故偏专门
佛藏,舍卫国王梦见十事经,佛教故事,魏晋南北朝,1,中,低,解梦故事有趣味但短小冷僻
佛藏,舍卫国王梦见十事经,佛教故事,魏晋南北朝,1,中,低,解梦故事有趣味但短小冷僻
佛藏,舍头谏太子二十八宿经,佛教故事,魏晋南北朝,3,中,低,摩登女故事异本宗教浓
佛藏,舍头谏经,佛教故事,魏晋南北朝,3,中,低,摩登女故事异本宗教浓
佛藏,菩萨投身饲饿虎起塔因缘经,佛教故事,魏晋南北朝,1,中,低,舍身饲虎本生有情节但短小
佛藏,菩萨本生鬘论,佛教故事,宋,2,中,低,本生故事集有可读性但宗教浓
佛藏,菩萨本生鬘论,佛教故事,宋,3,中,低,本生故事集有可读性但宗教浓
佛藏,菩萨本缘经,佛教故事,魏晋南北朝,3,中,低,本生故事有可读性但宗教浓
佛藏,菩萨本行经,佛教故事,魏晋南北朝,1,中,低,本生故事有可读性但宗教浓
佛藏,菩萨睒子经,佛教故事,魏晋南北朝,1,中,低,睒子孝亲本生有情节但短小
佛藏,见闻录,佛教故事,清,1,中,低,因果见闻录有志怪味但杂记
佛藏,见闻录,佛教故事,清,1,中,低,因果见闻录有志怪味但杂记
佛藏,贤愚因缘经,佛教故事,魏晋南北朝,3,中,低,贤愚因缘故事生动但宗教浓
佛藏,贤愚经,佛教故事,魏晋南北朝,5,中,低,贤愚因缘故事生动但宗教浓
佛藏,过去现在因果经,佛教故事,魏晋南北朝,3,中,低,佛传因果有故事但宗教浓
佛藏,过去现在因果经,佛教故事,魏晋南北朝,3,中,低,佛传因果有故事但宗教浓
佛藏,那先比丘经,佛教故事,魏晋南北朝,1,中,低,那先问答有义理趣味偏说理
佛藏,那先比丘经,佛教故事,魏晋南北朝,1,中,低,那先问答有义理趣味偏说理
佛藏,释迦如来应化录,佛教故事,清,9,中,低,佛陀生平汇编有故事但宗教浓
佛藏,释迦谱,佛教故事,魏晋南北朝,10,中,低,佛传谱系有故事但偏文献
佛藏,释迦谱,佛教故事,魏晋南北朝,24,中,低,佛传谱系有故事但偏文献
佛藏,金色童子因缘经,佛教故事,宋,10,中,低,因缘故事有情节但宗教浓
佛藏,银色女经,佛教故事,魏晋南北朝,1,中,低,舍身本生有情节但短小宗教浓
佛藏,长寿王经,佛教故事,魏晋南北朝,1,中,低,长寿王忍辱本生有情节但短小
佛藏,阿育王传,佛教故事,魏晋南北朝,4,中,低,阿育王事迹有故事但宗教浓
佛藏,阿育王传,佛教故事,魏晋南北朝,5,中,低,阿育王事迹有故事但宗教浓
佛藏,阿育王子法益坏目因缘经,佛教故事,魏晋南北朝,10,中,低,因缘故事有情节但宗教浓
佛藏,阿育王息坏目因缘经,佛教故事,魏晋南北朝,10,中,低,因缘故事有情节但宗教浓
佛藏,阿育王经,佛教故事,魏晋南北朝,11,中,低,阿育王事迹有故事但宗教浓
佛藏,阿育王经,佛教故事,魏晋南北朝,14,中,低,阿育王事迹有故事但宗教浓
佛藏,阿难七梦经,佛教故事,魏晋南北朝,1,中,低,七梦预言有趣味但短小
佛藏,集神州三宝感通录,佛教故事,隋唐,3,中,低,三宝灵异感通有志怪味但宗教浓
佛藏,集神州三宝感通录,佛教故事,隋唐,5,中,低,三宝灵异感通有志怪味但宗教浓
佛藏,须摩提女经,佛教故事,魏晋南北朝,1,中,低,须摩提女故事有情节但短小
佛藏,须摩提女经,佛教故事,魏晋南北朝,2,中,低,须摩提女故事有情节但短小
佛藏,须摩提女经之二,佛教故事,魏晋南北朝,2,中,低,须摩提女故事异本短小
佛藏,黑氏梵志经,佛教故事,魏晋南北朝,1,中,低,梵志献花故事有趣味但短小
佛藏,龙树菩萨传,佛教故事,魏晋南北朝,1,中,低,龙树事迹有传奇色彩但短小专门
佛藏,龙树菩萨传,佛教故事,魏晋南北朝,1,中,低,龙树事迹有传奇色彩但短小专门
佛藏,龙树菩萨传之二,佛教故事,魏晋南北朝,1,中,低,龙树事迹异本短小专门
子藏,冥报记,佛教故事,隋唐,1,中,低,唐代因果报应故事，有情节偏说教
子藏,冥祥记,佛教故事,魏晋南北朝,2,中,低,释氏感应志怪，有故事偏说教
诗藏,六十种曲三元记,戏曲剧本,明,8,中,低,明传奇善恶报应剧，可读但小众
诗藏,六十种曲东郭记,戏曲剧本,明,19,中,低,孙仁孺讽世传奇，借孟子讽喻但小众
诗藏,六十种曲八义记,戏曲剧本,明,8,中,低,赵氏孤儿题材传奇，故事佳但小众
诗藏,六十种曲千金记,戏曲剧本,明,11,中,低,韩信故事传奇，楚汉题材但偏专
诗藏,六十种曲双烈记,戏曲剧本,明,19,中,低,梁红玉抗金传奇，故事佳但小众
诗藏,六十种曲双珠记,戏曲剧本,明,21,中,低,明传奇悲欢离合剧，可读但小众
诗藏,六十种曲四喜记,戏曲剧本,明,10,中,低,宋祁兄弟故事传奇，偏专小众
诗藏,六十种曲四贤记,戏曲剧本,明,17,中,低,明传奇贤德题材剧，说教偏多小众
诗藏,六十种曲寻亲记,戏曲剧本,明,8,中,低,周羽寻亲故事传奇，情节可读但小众
